Index	Name	Description	File Name	Quantity
10.1.3.4.1.1.6.5	Microphone Plug, RPi4ModelB004		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.7	Display Connector, RPi4ModelB017		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.7.1	Display Connector, RPi4ModelB		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.7.2	Display Connector, RPi4ModelB001		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.7.3	Display Connector, RPi4ModelB002		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.7.4	Display Connector, RPi4ModelB003		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.7.5	Display Connector, RPi4ModelB004		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.7.6	Display Connector, RPi4ModelB005		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.7.7	Display Connector, RPi4ModelB006		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.7.8	Display Connector, RPi4ModelB007		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.7.9	Display Connector, RPi4ModelB008		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.7.10	Display Connector, RPi4ModelB009		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
